Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
102,15.666985566871116,6.9953780544390325,16.21743901735504,32.8730096045156,31.407385678369554
103,15.764235008859051,6.998803997091352,16.317180594231445,33.23043223738748,31.656191111266356
104,15.918786901437105,7.002229939743671,16.408443455570904,33.46030265011505,31.89232458998932
105,16.05083307299747,7.00565588239599,16.570710003818178,33.72912173411283,32.16206371947992
106,16.212492487186672,7.00908182504831,16.7060804459404,34.08322094504483,32.347180711434234
107,16.25716846242046,7.012507767700629,16.81523771492727,34.40327508960021,32.688891113221935
108,16.477035351458458,7.015933710352948,16.895664110781023,34.61323905620664,33.019638173670465
109,16.57692531186037,7.044019120922495,17.029656637952673,35.01514437365711,33.203874511058906
110,16.730885208584034,7.0474450635748145,17.080094086221465,35.43648672177327,33.44325839717713
111,16.79668168808748,7.050871006227133,17.191479748853887,35.708322561523175,33.70294593480412
112,16.83440409203215,7.059877878839558,17.288770017826522,36.03180362156413,33.863132228935086
113,16.971149066575467,7.063303821491877,17.411149013524987,36.32785990699256,34.07685619425204
114,17.089102454680805,7.08981469959131,17.449480010724216,36.523572052982374,34.24230577468917
115,17.120173131619236,7.093240642243629,17.519150642907086,36.779575462436256,34.54406598471148
116,17.164652390041063,7.096666584895948,17.6545525941222,37.05829313831675,34.81773455253456
117,17.207777205370256,7.100092527548267,17.879368164656512,37.3464704693428,35.0743299343946
118,17.258883274264726,7.100202123113164,17.955593248213294,37.67091058115785,35.400708136586246
119,17.346391847398596,7.1037376613303795,18.018178039037103,37.91529332318042,35.559154948402266
120,17.409051403866805,7.107273199547595,18.05821200971672,38.218405743684876,35.79656249289915
121,17.481774157672376,7.110808737764811,18.098245980396335,38.39505612127908,36.04691276451039
122,17.511938046685888,7.114344275982026,18.227676685499596,38.73725892945855,36.36872425815515
123,17.592894308276176,7.1177702186343454,18.300106914080548,38.986585911802905,36.502525669895306
124,17.66985098762578,7.1177702186343454,18.39718251401477,39.2753621896606,36.79256101525655
125,17.714723572211255,7.1177702186343454,18.503491232032566,39.511187850832606,37.17474090459014
126,17.997145193859186,7.1368902774066525,18.711468381682433,39.83394372559155,37.343032838665515
127,18.087862070870266,7.1492497033559275,18.8820212348725,40.12145141170201,37.63672610758414
128,18.163568996019848,7.1492497033559275,19.030065030179422,40.385193855299,37.935906915479755
129,18.30554293851372,7.1492497033559275,19.090284796323242,40.67143914353598,38.210977078048145
130,18.44162693694687,7.1492497033559275,19.13031876700286,41.002934711632534,38.383723013254055
131,18.51039375523441,7.1565704430709385,19.20228257008907,41.293671306237954,38.63610988680814
132,18.661880155279146,7.1565704430709385,19.25806259146143,41.60976433668857,38.908970665487786
133,18.73641295483197,7.1565704430709385,19.352599285182535,41.990389575920695,39.24940241280936
134,18.828205871500042,7.1565704430709385,19.42929767672838,42.22924270755459,39.551021778969975
135,18.943338748637792,7.1565704430709385,19.52690470752521,42.473834318631454,39.730821928979246
136,19.001225170901066,7.1565704430709385,19.609482221462645,42.64814408346789,39.97391898837209
137,19.136042545126664,7.1565704430709385,19.685932237807275,43.019646576860126,40.27543883815959
138,19.27437943704246,7.1565704430709385,19.810525722909134,43.27580664967275,40.49206350598272
139,19.378876969973998,7.1565704430709385,19.886289110586237,43.60568468454764,40.66118750364431
140,19.431511123637534,7.1565704430709385,19.93183125193558,43.9660523595535,41.027691609792704
141,19.529613688209185,7.1565704430709385,20.159789425916124,44.14590258975434,41.303336326918824
142,19.56950825287967,7.1565704430709385,20.260075418064574,44.38187814315123,41.51099745775814
143,19.678684967580867,7.1565704430709385,20.30337789649787,44.664098294226626,41.78318656580075
144,19.706329701866977,7.1565704430709385,20.391102537086308,44.9709361327549,42.097563440590825
145,19.733974436153087,7.1565704430709385,20.465786121458017,45.1754381597802,42.38074338948394
146,19.79683804279388,7.1565704430709385,20.56535526355517,45.59039678842768,42.65362705664937
147,19.82448277707999,7.1565704430709385,20.729562872250646,45.888478197293935,42.90352529849323
148,19.96330432492934,7.1565704430709385,20.849247295452752,46.134281311431906,43.19393067326151
149,19.99094905921545,7.1565704430709385,20.925533001147993,46.45566592426398,43.43943881636136
150,20.178273439964457,7.1565704430709385,21.04801294293656,46.77009792157673,43.746292540355185
151,20.199760054125356,7.1565704430709385,21.120121143653435,47.043537981248264,43.94812287746025
152,20.228457812436368,7.171390292309249,21.207098006901667,47.289896001454665,44.26647230428334
153,20.347007451467753,7.186210141547559,21.27974272094311,47.58484332347537,44.52820830922328
154,20.368494065628653,7.186319737112456,21.329597532164843,47.90919889298874,44.68887397847976
155,20.4593659004274,7.20340166307634,21.451225208513396,48.13356231465357,44.93161899403485
156,20.532997733741148,7.20340166307634,21.568704551103814,48.42489802090694,45.110911978606545
157,20.629461751490744,7.203511258641237,21.665709822027033,48.7834196483963,45.250382464095324
158,20.69808589161707,7.203620854206133,21.752575797429294,49.015515883869924,45.57738265635568
159,20.83603870017646,7.203620854206133,21.82684614312792,49.34527573793855,45.824877223860454
160,20.90062151913995,7.2037304497710295,22.058572795420734,49.69111298328984,46.068337425172714
161,21.052023181328508,7.2037304497710295,22.079272439146578,49.94565819668982,46.28505482967693
162,21.125043647185596,7.2037304497710295,22.135771047965495,50.18099860215527,46.38740148301964
163,21.2290440660098,7.2037304497710295,22.15647069169134,50.42727655759835,46.594827555795995
164,21.38477694383105,7.2037304497710295,22.257614414162497,50.717719590399895,46.821200329797335
165,21.40626355799195,7.2037304497710295,22.360052514653226,50.99496384815771,47.14723195475067
166,21.460361565289478,7.2037304497710295,22.430145801768283,51.33135748140319,47.40539700450264
167,21.488465931586497,7.2037304497710295,22.48480920364745,51.64468280515879,47.57370082561546
168,21.60206299695698,7.2037304497710295,22.621322515188158,51.94132148199291,47.81378988668427
169,21.710842468911363,7.2037304497710295,22.743318673895995,52.18700042433469,47.99465148843005
170,21.811517298226416,7.2037304497710295,22.76401831762184,52.440875273416985,48.24985140064303
171,21.947636356154316,7.2037304497710295,22.78471796134769,52.71607071019783,48.44624231069723
172,22.018065339419557,7.2037304497710295,22.805417605073533,52.98962066588727,48.68454351588626
173,22.039551953580457,7.2037304497710295,22.826117248799378,53.22833969491545,48.87697278662001
174,22.13690768449172,7.2037304497710295,22.846816892525222,53.508179851337516,49.07014116968311
175,22.245275589883644,7.2037304497710295,22.90068540564117,53.79640800706231,49.25185526664632
176,22.348212879564134,7.2037304497710295,22.941570844831222,54.043230784289605,49.373127548657365
177,22.36969949372503,7.2037304497710295,22.962270488557067,54.310242305898626,49.59316395551436
178,22.433237324905214,7.2037304497710295,22.995459652925284,54.63687186239524,49.78540793570191
179,22.576014625572714,7.2037304497710295,23.027826145271337,54.89461849220349,50.05074269111984
180,22.650395467671913,7.2037304497710295,23.121889047765716,55.11802281230247,50.234025419808084
181,22.671882081832813,7.2037304497710295,23.24748326552407,55.44345009167589,50.58617860215107
182,22.743132810103653,7.2037304497710295,23.311457937102265,55.75256501160906,50.82810565975832
183,22.8143016451268,7.2037304497710295,23.453388409079857,56.014843730237544,50.936680872460954
184,22.8357882592877,7.2037304497710295,23.589389186034914,56.27917532850749,51.112967419025516
185,22.903535012071888,7.2037304497710295,23.610088829760763,56.531717463604494,51.2018317873666
186,22.925021626232784,7.2037304497710295,23.646773709285906,56.71476795219322,51.35615430984575
187,22.98332040464065,7.2037304497710295,23.693183576634212,56.933638085318854,51.511296657180935
188,23.10106890047196,7.2037304497710295,23.867734257627102,57.25586606650687,51.65210319894277
189,23.184369633036027,7.2037304497710295,23.9603238972948,57.498923645394335,51.82229504846292
190,23.205856247196927,7.2037304497710295,24.052954235703755,57.86759644726707,51.940095938157285
191,23.290541989796658,7.2037304497710295,24.145661167074387,58.16563355543783,52.04509108443749
192,23.355081704243347,7.2037304497710295,24.16636081080023,58.338476520559865,52.23733810593359
193,23.45691599241797,7.2037304497710295,24.321578580719425,58.54820306837773,52.48628674371346
194,23.591137146807846,7.2037304497710295,24.391671867834482,58.82879417936407,52.70328594284784
195,23.630540706146267,7.2037304497710295,24.41237151156033,59.12155351435365,52.87422636598467
196,23.760783179621903,7.2037304497710295,24.49353914033945,59.50307765992527,53.087381793836485
197,23.785818152502706,7.2037304497710295,24.5299323591181,59.832317464276876,53.355495476554076
198,23.86319471741991,7.2037304497710295,24.626083982176244,60.1088560233642,53.55813039009787
199,23.956134769083373,7.2037304497710295,24.64678362590209,60.33261113029471,53.758494596329726
200,24.011404938875632,7.2037304497710295,24.7135570191756,60.76913871762923,53.90452838177871
201,24.082731182787217,7.2037304497710295,24.788617616535394,60.99413217626925,54.0632252211059
202,24.14102996119508,7.2037304497710295,24.98516485825143,61.36272823007306,54.31423764259582
203,24.185081306733167,7.2037304497710295,25.16031242611232,61.5934548831263,54.497276360379715
204,24.30334658840159,7.2037304497710295,25.24674010491648,61.88215446917657,54.61151843030947
205,24.46416106932112,7.2037304497710295,25.361036008103163,62.11098789523957,54.76624051633426
206,24.533989362046977,7.2037304497710295,25.40576111648838,62.46104515019603,54.89866146004586
207,24.678719514059484,7.2037304497710295,25.489081762718072,62.68192026419865,55.04576640240109
208,24.818547126606557,7.2037304497710295,25.59311528788893,62.939750372281296,55.21430025887734
209,24.9316818845878,7.2037304497710295,25.710303926094877,63.20991635609943,55.43303726115103
210,25.09948145818637,7.2037304497710295,25.86761152310799,63.364691376311626,55.56972705213529
211,25.16472055698945,7.2037304497710295,25.88831116683383,63.68701639911014,55.769243515450555
212,25.23902417678259,7.2037304497710295,25.984939293399332,63.94513821539134,55.93074815542883
213,25.35645496432135,7.2037304497710295,26.086768684260825,64.14808118766092,56.073845413196395
214,25.464488257132835,7.2037304497710295,26.201310893568028,64.47691188113967,56.39594865577175
215,25.48597487129373,7.2037304497710295,26.22201053729387,64.75136760029315,56.561194555401435
216,25.670874567484663,7.2037304497710295,26.288101342164445,65.01760922672015,56.699437923286496
217,25.799238207509283,7.2037304497710295,26.34623337636816,65.30638204743181,56.878599010720606
218,25.888097356641076,7.2037304497710295,26.41264801490744,65.5265473606385,57.00543692189253
219,25.96638630341335,7.2037304497710295,26.647778254818682,65.83605192356549,57.198573281947674
220,26.024863144315447,7.2037304497710295,26.730371614358546,65.99539417311806,57.37561781539127
221,26.046349758476346,7.2037304497710295,26.775385350770584,66.27811349491824,57.57207775160183
222,26.162587308450675,7.203840045335926,26.90734839996952,66.57223329840818,57.74851389104722
223,26.22908379330188,7.203949640900822,26.928048043695362,66.79713418298205,57.92481526667291
224,26.347838596561736,7.204059236465719,26.9487476874212,67.0650898167112,58.20188590577642
225,26.402000736760733,7.204168832030615,27.015521080694704,67.36355135179846,58.33606180061635
226,26.44969608304664,7.204278427595511,27.169621033709213,67.6475059966869,58.389751180197564
227,26.4760258689568,7.204388023160408,27.238497848701066,67.91295821160604,58.422590033109756
228,26.552870028416557,7.204497618725304,27.251124160418005,68.17886965469344,58.65916739913926
229,26.579199814326717,7.204607214290201,27.33763254224753,68.42475592550868,58.894809186395506
230,26.679711986759735,7.204716809855097,27.451663708431283,68.66256083564863,59.045208338057634
231,26.7875296931608,7.204826405419993,27.479099910472,68.94161543405235,59.138529023945594
232,26.809016307321695,7.2049360009848895,27.553390341885226,69.20060199267515,59.29918488533999
233,26.876030911372588,7.205045596549786,27.623656247590212,69.49304909758389,59.38146525622811
234,27.008117615308144,7.205155192114683,27.73533072124141,69.81117591321393,59.585872546463165
235,27.063237035356025,7.205264787679579,27.827269874847495,70.13417617249051,59.740697677342794
236,27.084723649516924,7.205374383244475,27.94751073807347,70.35823751148999,59.82907825421621
237,27.12765582912656,7.205483978809371,27.9618400232708,70.50417634955215,60.00162462430179
238,27.15464833029754,7.205593574374268,28.006962804081763,70.81440599626482,60.15877798987749
239,27.21428668967577,7.205703169939165,28.09996617646368,71.05189785940657,60.28019965389111
240,27.34429574830616,7.205812765504061,28.13749478912958,71.39388244858834,60.377398698738844
241,27.446931554216047,7.205922361068957,28.237301375751734,71.63365011420895,60.58186119056355
242,27.523688169496968,7.206031956633853,28.366167175933946,71.9218007774991,60.69279208173235
243,27.590155758223187,7.2061415521987495,28.398239937314816,72.27450391483234,60.87479278125245
244,27.63140125260311,7.206251147763647,28.513848287698664,72.52515081436687,61.032553151081515
245,27.681965549940486,7.206360743328543,28.67984344757694,72.71142212814803,61.259253186872456
246,27.80382222065475,7.206470338893439,28.7246001223997,72.97940815235003,61.39624833729609
247,27.843943925305467,7.206579934458335,28.81117101225214,73.27260789085764,61.57705213932511
248,27.865430539466367,7.206689530023231,28.96068773788653,73.50071110714016,61.68552304140358
249,27.90479056526646,7.2067991255881285,29.054730359667683,73.7612161649617,61.92627234800584
250,28.08543300288492,7.206908721153025,29.141607887307856,74.04509153425158,61.96360087706493
251,28.106919617045815,7.207018316717921,29.154234199024796,74.32747433845132,62.083034229368444
252,28.17109269621377,7.207127912282817,29.29273622910974,74.68291881629597,62.246657590471344
253,28.33200629884514,7.207237507847713,29.30536254082668,74.8799759671415,62.38838531677576
254,28.42243944739871,7.20734710341261,29.34928851623946,75.07363027613971,62.48691463901262
255,28.44392606155961,7.207456698977507,29.45976966979996,75.30854693276551,62.63859695132292
256,28.465412675720508,7.207566294542403,29.497665311166365,75.40770990555706,62.85514278905772
257,28.530826176395955,7.207675890107299,29.578362709582187,75.70468980913836,62.967116364623415
258,28.55231279055685,7.207785485672195,29.61708384023685,75.9416669457409,63.08626368991747
259,28.57379940471775,7.207895081237092,29.649528006490335,76.20222461593127,63.21510549312838
260,28.696868216054877,7.2080046768019885,29.703942946467134,76.51792508420144,63.38239576925101
261,28.79859979167381,7.208114272366885,29.716569258184073,76.82598725211744,63.54383619575235
262,28.85786074345496,7.208223867931781,29.796832456874547,77.10109881427627,63.628971104291075
263,28.907214713629127,7.208333463496677,29.809458768591487,77.36713826152292,63.69466656518089
264,28.928701327790026,7.208443059061574,29.865681498336766,77.5956108637342,63.854916760928305
265,28.98030482287632,7.20855265462647,29.93999675586972,77.83681998621552,64.0309957123699
266,29.04030098599071,7.208662250191367,29.95262306758666,78.07920326041952,64.07521211216307
267,29.103282444523103,7.208771845756263,30.02842922958333,78.43942670834515,64.18733827104172
268,29.174758818743147,7.208881441321159,30.067150360237996,78.68797837715226,64.29696613099944
269,29.196245432904043,7.208991036886056,30.07977667195494,78.93738368036,64.38371961662776
270,29.246475334164405,7.209100632450952,30.19432177897815,79.1842302048206,64.47770816241949
271,29.2679619483253,7.2092102280158485,30.22951282207228,79.43124843812346,64.69226556832528
272,29.325825365690957,7.25713783322883,30.322487071223964,79.76489395576024,64.75494859062518
273,29.347311979851856,7.294195105329234,30.38454486977946,80.08995829324326,64.87515877191056
274,29.38605953754951,7.294304700894131,30.3971711814964,80.36117497092357,65.07740582879187
275,29.40754615171041,7.294414296459027,30.500042568242083,80.61772831806088,65.25010073665865
276,29.429032765871305,7.294523892023923,30.5215396916392,80.94600357596624,65.38667067255129
277,29.493059442075218,7.29463348758882,30.593442036953746,81.15677726667069,65.43964650308456
278,29.566120282323578,7.294743083153716,30.66060908633234,81.41035477139911,65.55781144259427
279,29.587606896484477,7.2948526787186125,30.67323539804928,81.66184028158708,65.7182518279463
280,29.685739731892596,7.294962274283509,30.685861709766222,81.97043432027223,65.83776136155187
281,29.719476176437873,7.295071869848405,30.81968856790176,82.26556032906197,65.9739362220943
282,29.88970983619034,7.295181465413302,30.947159787897853,82.51075910560797,65.98695150454564
283,29.967701599325892,7.295291060978198,31.005859849162455,82.79198517793127,66.05971335752346
284,29.98918821348679,7.295400656543094,31.06536776076259,83.10628989115996,66.12976262714902
285,30.010674827647687,7.295510252107991,31.077994072479534,83.41550121129896,66.13329816536626
286,30.062433393066776,7.295619847672887,31.139761509007247,83.73829799310968,66.2013325202422
287,30.11913887958236,7.295729443237784,31.152387820724186,83.95159691338043,66.26363571561355
288,30.16468406155146,7.29583903880268,31.25957197688419,84.19172575543378,66.36653041634193
289,30.277087495593612,7.295948634367576,31.27219828860113,84.36816216423196,66.53833141304622
290,30.317895114007705,7.2960582299324725,31.284824600318068,84.68916641698851,66.60498888886794
291,30.411036437549956,7.296167825497369,31.417971432908406,84.95431994359052,66.79739029323521
292,30.432523051710852,7.296277421062266,31.52511868574961,85.15139059100969,66.90066675766518
293,30.482111440483568,7.296387016627162,31.63588650475428,85.34281252818269,67.03612642541675
294,30.507023997296784,7.296496612192058,31.738481099248748,85.66397134434646,67.1285874084974
295,30.61601774233293,7.2966062077569545,31.81316282670545,85.9379773001341,67.1793103981142
296,30.70376792292843,7.296715803321851,31.83501649933867,86.22583024947515,67.31002567220847
297,30.78975366454735,7.296825398886748,31.871701378863815,86.47512697104317,67.41861238938047
298,30.84899741534854,7.296934994451644,31.884327690580754,86.69497406273555,67.59368997770056
299,30.935142933688418,7.29704459001654,31.967662337961805,86.88125294767876,67.69403486217357
300,31.007362621920144,7.297154185581436,32.01810907676991,87.18958972711633,67.74570433460178
301,31.044887588010436,7.297263781146333,32.14015597505719,87.49027341598627,67.83491276626482
302,31.066374202171335,7.29737337671123,32.22594735380416,87.7776121815452,67.93461335992777
303,31.106193234807886,7.297482972276126,32.25938650915113,88.08775418127448,68.0677174975843
304,31.249606431994714,7.297592567841022,32.456867656633946,88.28695770043323,68.18010966201192
305,31.29053949581954,7.297702163405918,32.46949396835088,88.4277113123975,68.2810006243517
306,31.31202610998044,7.2978117589708145,32.50067267425479,88.61401814587663,68.45572624501598
307,31.333512724141336,7.297921354535712,32.51329898597173,88.93067086374859,68.58204128429455
308,31.410193399427442,7.298030950100608,32.55922502252401,89.15368704514017,68.65628654304132
309,31.525456689668125,7.298140545665504,32.598607527024726,89.32622133832174,68.79131624201227
310,31.54694330382902,7.2982501412304,32.61123383874166,89.56806988282148,68.91825526465382
311,31.575864270481162,7.298359736795296,32.623860150458604,89.85212428726784,68.99505976204824
312,31.69116701833905,7.2984693323601935,32.679106392081,90.08986233887411,69.07498289414761
313,31.717825197340836,7.29857892792509,32.76961333076481,90.30918261067028,69.11824957768508
314,31.75694032235682,7.298688523489986,32.81381399024911,90.55123012321471,69.19351596867645
315,31.858784031557587,7.298798119054882,32.82644030196605,90.79167054952624,69.35918201180267
316,31.880270645718486,7.298907714619778,32.93066646688275,91.02301424191577,69.45405256713038
317,31.919630671518583,7.299017310184675,33.083699650665054,91.30471472928164,69.53316902657214
318,32.085568447364516,7.299126905749572,33.105553323298274,91.66996164302118,69.58308969601077
