Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit,thompson check
168,22.712170896267715,11.110506093091741,21.867183161742357,13.533783246142983,26.458795050371094
169,22.88187987904778,11.137634003880475,21.905594542827078,13.533783246142983,26.466351282321256
170,22.950111678753096,11.138637457346837,21.906552851977672,13.54440905632502,26.468050157964075
171,23.033500374537823,11.208891996815996,21.957819452525115,13.554752856683251,26.46970388929112
172,23.17452665364058,11.23033821746818,22.00950001867389,13.585320999462905,26.484246137358287
173,23.247264194559,11.231991948795232,22.027922064009466,13.595251387468485,26.485899868685333
174,23.332226642553685,11.247349934395087,22.040193281619462,13.654449109786842,26.485899868685333
175,23.419868164399904,11.248045356571543,22.103594001240417,13.656147985429664,26.4937947163695
176,23.419868164399904,11.25363982590475,22.10455231039101,13.669377512190255,26.522530924831422
177,23.419868164399904,11.279438705151032,22.141970831059716,13.67038096565662,26.525188109624832
178,23.59615294762151,11.335027376388814,22.163101674397215,13.680003322372292,26.525188109624832
179,23.666470317886716,11.352037681137116,22.16405998354781,13.699944845311231,26.573504265167816
180,23.75119056745851,11.358233653178464,22.23935826554958,13.731385143641763,26.641337196368475
181,23.88195734107903,11.438943165365618,22.245215621856925,13.738539424833709,26.643036072011295
182,24.03469764337122,11.469688041519692,22.397887631773944,13.74050118745067,26.64373149418775
183,24.03469764337122,11.476754523816144,22.399849394390905,13.768590733817689,26.659352366761745
184,24.135207636052343,11.505588161297517,22.417818008289803,13.783878725648439,26.81466286855325
185,24.195706960873107,11.542911603305075,22.45974830775407,13.824785032334471,26.815621177703843
186,24.195706960873107,11.57552870151922,22.488849914855507,13.851122954118626,26.830656285388915
187,24.21271726562141,11.589354683215186,22.489808224006104,13.864089593905078,26.832355161031735
188,24.21271726562141,11.637960105240357,22.523716888191984,13.918260507073715,26.832355161031735
189,24.256303067222593,11.646887039779571,22.53754286988795,13.96034428132867,26.835012345825145
190,24.42973916497069,11.676256741504607,22.58315953546576,13.965938750661877,26.836666077152195
191,24.467314122903172,11.697657817841025,22.644557266988656,14.016002782144236,26.857101498313227
192,24.486791234913618,11.753201389672403,22.720473492218762,14.017701657787057,26.85975868310664
193,24.57030077100584,11.782200485108461,22.727539974515217,14.025596505471231,26.8908272604745
194,24.66256717581969,11.849451133448847,22.74845744106872,14.038345255996385,26.89252613611732
195,24.801430368654625,11.855045602782052,22.75041920368568,14.04897106617842,26.919755472648852
196,24.801430368654625,11.861598381265855,22.802786082700955,14.084890471741142,26.9601500512128
197,24.909105281679363,11.868196304065425,22.821781126150878,14.111218713573482,26.96280723600621
198,24.946680239611844,11.896213829116334,22.82278457961724,14.136793187297192,26.96450611164903
199,25.027518166135746,11.977809718472567,22.85433245967687,14.17203339909037,26.986602610161903
200,25.027518166135746,11.977809718472567,22.88294153594337,14.174690583883788,27.060343604546688
201,25.027518166135746,11.978768027623165,22.883899845093968,14.181288506683359,27.090140633824582
202,25.095749965841062,11.97972633677376,22.923436565643406,14.228000616930467,27.17144245878448
203,25.215193136775216,12.017493390105859,22.931286269011814,14.249261103153438,27.174099643577893
204,25.389096423040378,12.01849684357222,22.931286269011814,14.268738215163882,27.189830173439418
205,25.455271588080272,12.033531951257293,22.992992824625688,14.300721211331137,27.190525595615874
206,25.491932854883125,12.078919097314618,23.124948727532534,14.30662371195425,27.2896037927763
207,25.575442390975347,12.083818144471369,23.125907036683127,14.335443501507658,27.290607246242665
208,25.681249148613148,12.205199605909158,23.19180568262098,14.380472390843362,27.3502521081635
209,25.7461894854004,12.254435065988861,23.19866649239469,14.386329747150707,27.368564533910348
