Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
229,33.933126003757835,11.644707459917042,65.9094622335868,36.206502673659884,85.3736687227379,66.69241359848259
230,34.006560374048675,11.64512251535943,66.07045887617679,36.341169913863624,85.73703913656684,66.82079270819472
231,34.09177978707231,11.64553757080182,66.21796337727201,36.483982353571214,86.03574170858874,67.04642899871413
232,34.21971987896262,11.645952626244208,66.32113122718818,36.58261025804437,86.30320468359044,67.1796033650418
233,34.314768040399635,11.646367681686597,66.5014381175872,36.65756385246898,86.57694697518937,67.35661898168819
234,34.537195404190456,11.646782737128985,66.70913518497937,36.67099650740007,86.99125539027258,67.5050865517584
235,34.616193006964735,11.647197792571374,67.00412338314243,36.68442916233116,87.32768469129394,67.6329758855882
236,34.735541992430115,11.647612848013763,67.22782370117194,36.75419155229479,87.69660142148834,67.80296809744388
237,34.85589076625861,11.648027903456152,67.4015031970216,36.8800841873808,88.00705067522524,67.95396546223826
238,34.88969684084939,11.64844295889854,67.57940280703482,36.94660828739363,88.29973097601462,68.05976119106552
239,34.92350291544016,11.648858014340929,67.77214848187569,36.99791346790422,88.61956220901652,68.14217598349575
240,34.95730899003094,11.649273069783318,67.93890041303685,37.04033569710781,88.88187620205952,68.24807587488537
241,34.99111506462171,11.649688125225707,68.23273397116326,37.10583789838337,89.2639342393697,68.49837764033734
242,35.02492113921248,11.650103180668095,68.32645728246229,37.18747162354477,89.5539636694754,68.64422493678413
243,35.08676330770569,11.650518236110484,68.42569420822394,37.39581077651743,89.85311697230512,68.69557545688878
244,35.293843118777396,11.650933291552873,68.64033944315308,37.52325872179124,90.28736908032796,68.83612404919839
245,35.44789549217051,11.651348346995261,68.80812181756473,37.642454010305144,90.59653509753659,68.90297285489474
246,35.57528560423927,11.65176340243765,68.94983092669544,37.68159978036106,90.81237249656019,69.1760310806529
247,35.68119609260759,11.652178457880039,69.12927236094342,37.76168512381185,91.20244445475218,69.32116758319891
248,35.76041537859362,11.652593513322428,69.28379875718683,37.909666370272795,91.59795642712503,69.41391923297235
249,35.84092715609271,11.653008568764816,69.41924272216905,37.964697176876015,91.98245396671649,69.58510883990184
250,35.87473323068348,11.653008568764816,69.60081127812222,38.10619166853421,92.3289254284355,69.73573790082362
251,35.93491847507536,11.653008568764816,69.76889946486082,38.183459080841345,92.67686773422272,69.95326144464816
252,36.071370716171316,11.653008568764816,69.93694265767458,38.256868598548934,92.92718945546936,70.10914907034369
253,36.17729568367508,11.653008568764816,70.1532785825194,38.386085633779224,93.23675987154533,70.18150967483416
254,36.29469690115692,11.653008568764816,70.29646073390768,38.39951828871032,93.5429424515028,70.2323150012212
255,36.37931283875732,11.653008568764816,70.55060542812234,38.47987861434252,93.81463925952944,70.2941928933871
256,36.44361633910733,11.653008568764816,70.67371609597242,38.61250019371582,94.24966981709643,70.36939799317727
257,36.500476958245976,11.653008568764816,70.79651128171588,38.667996320042406,94.6004641814823,70.42973687927542
258,36.53428303283675,11.653008568764816,70.90918234035254,38.82674424988345,94.7941759428936,70.43015193471781
259,36.62580898387459,11.653008568764816,71.14154867249708,39.011572741400066,95.10420873616332,70.53503533554276
260,36.74026581858381,11.653008568764816,71.36383169152154,39.173022280480595,95.4546314828557,70.62910851038775
261,36.77407189317458,11.653008568764816,71.54874835604959,39.18645493541169,95.71252031472821,70.71751845491579
262,36.87135189650761,11.653008568764816,71.76843763758697,39.219425585693,95.95003864760506,70.8829290060567
263,36.96905394787775,11.653008568764816,71.88292925658861,39.39395291172452,96.27778638735472,70.94536631902434
264,37.08064791244719,11.653423624207205,71.93429437872126,39.54413344569646,96.53077057290898,71.14178613642179
265,37.2086147010129,11.653838679649594,72.05318762727353,39.598976384842615,96.79902116453397,71.23836132877285
266,37.325522845237025,11.654253735091983,72.2675087584064,39.74028094832729,97.10165588670849,71.38770393789049
267,37.385042034952626,11.654668790534371,72.42281259809144,39.78941236862161,97.44271964178152,71.51595706474828
268,37.504757447162895,11.65508384597676,72.56318690922284,39.85635913718751,97.7203742612008,71.73044237817076
