Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,ThompsonSamplingLinearBanditTheta,PHELinearBanditTheta
262,0.03466264876456426,0.04559656922755066,0.09844930014304472,1.0
263,0.033497090923423525,0.045687884065799045,0.11881403551384939,1.0
264,0.03345357239751823,0.04567096510433593,0.08891900353990424,1.0
265,0.03367963485615085,0.04579355019380919,0.12223950427712209,1.0
266,0.03353570662141982,0.04593201038363819,0.13232801670598482,1.0
267,0.0336561403867402,0.04584178787408751,0.09271702146084942,1.0
268,0.03363132280473592,0.04576245682748549,0.08564037466348379,1.0
269,0.03358961859171294,0.04585070315261937,0.0746390765039563,1.0
270,0.03336944257600384,0.045759591063969304,0.06069043932286774,1.0
271,0.03399935805510511,0.04586003325039926,0.11301386642330782,1.0
272,0.03403512044964596,0.04582039674261835,0.1258799533689681,1.0
273,0.03343777206054028,0.04569694481357371,0.09675712354838663,1.0
274,0.033507312704572,0.04572433101591063,0.1437451813413943,1.0
275,0.03350319345987792,0.04565994197371971,0.08188323993254827,1.0
276,0.03369674339218711,0.04547485962846586,0.12517239267219832,1.0
277,0.03368306400958336,0.045424503089898836,0.10997867473549419,1.0
278,0.03404540550080595,0.04521713459744569,0.1226814374184197,1.0
279,0.03387370055481237,0.04552506267097326,0.10242967526482363,1.0
280,0.03349396673952877,0.045596430284032256,0.13846560970020044,1.0
281,0.0333345342534833,0.04557126358746503,0.09412938035129809,1.0
282,0.03327437684718219,0.04607948526688013,0.12722835687239975,1.0
283,0.03297513359205821,0.046043318295483006,0.11703807811741081,1.0
284,0.03283826498291981,0.046033077918309476,0.10892543574104616,1.0
285,0.03285571563182619,0.04589124709807783,0.10338372084451655,1.0
286,0.03280795692382027,0.0457729950714421,0.08531158991087595,1.0
287,0.03275861092339079,0.045884562274381605,0.11595623538057125,1.0
288,0.032244928278827245,0.045907961043415345,0.08616879735957868,1.0
289,0.03270234072354097,0.046028541004001056,0.08090561065572383,1.0
290,0.032861206758760066,0.045909699878894886,0.08608653209109937,1.0
291,0.032811527269753525,0.04584921393917244,0.14682503196837796,1.0
292,0.0328072658918757,0.04583835837527544,0.07727729757352167,1.0
293,0.03276006553132644,0.04588542212026021,0.12031071845983161,1.0
294,0.03283152090552421,0.04596731110051743,0.13049823462133084,1.0
295,0.03290966198690417,0.0459061020067086,0.12365429878669268,1.0
296,0.0326607647162742,0.04584435831593772,0.106957632168733,1.0
297,0.03194369018236799,0.04573642484128375,0.12281726639386514,1.0
298,0.03203482239087434,0.04581899701784081,0.0925121339125016,1.0
299,0.0319942618296459,0.04590163552862699,0.09473497590013025,1.0
300,0.03173356535485158,0.04587385099395886,0.10082168133012923,1.0
301,0.0317095147030283,0.04591135296522596,0.07644696744787705,1.0
302,0.031644922475259005,0.04586810992788287,0.12704347894888143,1.0
303,0.03167513401839856,0.0459358210171144,0.12445423623609404,1.0
304,0.03198038893102216,0.04587501315664237,0.13349004892813704,1.0
305,0.03156014882442236,0.045841679554821574,0.1259734349276859,1.0
306,0.03169231046790466,0.045861686750047016,0.1141812842304309,1.0
307,0.03157139158441245,0.04585716727527956,0.12437626111647841,1.0
308,0.03116705621319491,0.0456755240837933,0.08825221926114415,1.0
309,0.03102848750173868,0.04567642678988234,0.10618741685467026,1.0
310,0.03106339605017045,0.045657546270255325,0.09852347021341969,1.0
311,0.03122344749763025,0.04563695837485708,0.08360959820299185,1.0
312,0.031210188070529388,0.045796072763000566,0.13410820284638755,1.0
313,0.03136371572866242,0.045845744165239,0.10541118048181675,1.0
314,0.031054098441434575,0.04585135278107648,0.10189235046978862,1.0
315,0.030508508163042826,0.045888206506251424,0.10039178737954232,1.0
316,0.03047280422760445,0.04583165910197809,0.11333196888474995,1.0
317,0.030455433509766382,0.0458394545933407,0.09450456615085495,1.0
318,0.030781455964024068,0.045772362960349824,0.09537332569958255,1.0
319,0.030919912864564532,0.045823392979054425,0.0878430416466364,1.0
320,0.03086886785468307,0.045916081087998904,0.10317154342056814,1.0
321,0.031164385259879985,0.04595845290185425,0.14323545504527793,1.0
322,0.031013623450616073,0.045998207836290536,0.12658139326532641,1.0
323,0.030933051799551442,0.04599789166394742,0.14105545246870743,1.0
324,0.03045354942784833,0.045977845609849737,0.10980793660728785,1.0
325,0.030461527178718834,0.04584231139768367,0.148181544079574,1.0
326,0.03043727625456862,0.045888240915068636,0.12193954340870117,1.0
327,0.030375283977025262,0.04590230399980093,0.13918283790805572,1.0
328,0.03076396685301156,0.04596699156579185,0.12024853022649995,1.0
329,0.03073455410310247,0.04600420623751443,0.13726807690842552,1.0
330,0.02984989416023886,0.04589072929535464,0.13789014370810088,1.0
331,0.029771051505969204,0.04589377311527244,0.09920055896588556,1.0
332,0.02980805931209294,0.04591122650328637,0.11879752055394191,1.0
333,0.029834523940089414,0.045971381103387755,0.11722746890441556,1.0
334,0.029880744589431258,0.045960309092952935,0.11649177193988494,1.0
335,0.030519673127563523,0.04608566155649137,0.10848718873601912,1.0
336,0.030687343771534804,0.04603212252661524,0.11838490372503578,1.0
337,0.030681776790399122,0.045925668555601644,0.10190578090713384,1.0
338,0.030625921212401697,0.045853178725587244,0.10986378589852967,1.0
339,0.030772764106739015,0.04578950125887515,0.12933225050097658,1.0
340,0.03075464666769062,0.04579767006442794,0.0959430800471146,1.0
341,0.030759952069658918,0.0454633570883417,0.09557015866780305,1.0
342,0.030800218971138087,0.04540367534555108,0.11099215373339413,1.0
343,0.03083559075079332,0.045460995062070374,0.11216443266542335,1.0
344,0.03082062782224282,0.045450680035002584,0.1037903108332284,1.0
345,0.03049292190154147,0.04545325684357197,0.11700741091170694,1.0
346,0.03054227673857206,0.04529150938098518,0.12053513862908824,1.0
347,0.03093884192298053,0.04551898697248344,0.06908070582287432,1.0
348,0.03094883825343675,0.045472878784623395,0.11715235754121181,1.0
349,0.03085127155199076,0.04559939389730661,0.0968807561087385,1.0
350,0.03084135032396353,0.045624712712211045,0.11128795024916552,1.0
351,0.031110900287122482,0.04572986663148599,0.13426103450324695,1.0
352,0.030898501090342322,0.04575225578188245,0.09462855161862127,1.0
353,0.030915402799577656,0.04564588645942904,0.14485569834860013,1.0
354,0.03084352088120697,0.045754285838315804,0.0918527432131797,1.0
355,0.031074953102565184,0.04590757171051924,0.1304123891409674,1.0
356,0.03187763328047132,0.045821014297725456,0.12286506495252321,1.0
357,0.03188860089446829,0.045913953686729056,0.08781289743275712,1.0
358,0.031837038215135116,0.04592735631560858,0.10959630659504944,1.0
359,0.03176328110104262,0.04595057816082927,0.13768110644154924,1.0
360,0.031767477193989584,0.046024816988033804,0.10678530784316868,1.0
361,0.031737316026855526,0.046099994316818216,0.10939711123499585,1.0
362,0.03177801514409143,0.045935121294111377,0.1243705282610826,1.0
363,0.0321586872249814,0.04598554644985006,0.10528065133999279,1.0
364,0.03208636165475515,0.04596462769774958,0.10502004800593964,1.0
365,0.031935981066938034,0.04590053991573638,0.11945997756249756,1.0
366,0.03212101486855456,0.04599382292259942,0.07828401716790345,1.0
367,0.032471022460826095,0.04603164819721855,0.1051335252072468,1.0
368,0.03254693262401489,0.046048556052672926,0.10064167613691152,1.0
369,0.032432785264963064,0.046150928400688795,0.14259114311787027,1.0
370,0.032255777500943605,0.04616195172044779,0.07691411347833019,1.0
371,0.032282739074371944,0.04625724771955202,0.09552794916298143,1.0
372,0.03257609024961565,0.04614903905185205,0.08661391621550668,1.0
373,0.03264847032728323,0.04623190177939659,0.11001408253283278,1.0
374,0.03264221587541589,0.04619283157998087,0.1283375239908395,1.0
375,0.03253548450951257,0.046062027954637874,0.10914762175326462,1.0
376,0.03219419006990497,0.046064516434874796,0.1082873540399925,1.0
377,0.032283433029257846,0.04602274655984713,0.09905286590975164,1.0
378,0.03238378393116152,0.04607382680973985,0.12722388314943364,1.0
379,0.032013545600904324,0.0459828925500048,0.11484924679018249,1.0
380,0.031858997433323794,0.04595226752956153,0.09258099491056351,1.0
381,0.03146266239693424,0.045924744937961996,0.10229981178509692,1.0
382,0.031374468085871715,0.04599935458310315,0.11357239645351631,1.0
383,0.0315355818182538,0.04595448305932031,0.09071728826316067,1.0
384,0.031648238182028325,0.046007908662674846,0.13141467156797296,1.0
385,0.031468411044836164,0.046036419514553624,0.14035104194558404,1.0
386,0.031395994468895384,0.046102450079975786,0.11973611119994723,1.0
387,0.03148851183600014,0.04609209797187454,0.1661977620200153,1.0
388,0.03154981309243994,0.04587356668080873,0.11710095598891361,1.0
389,0.03187326677279913,0.0457347815432441,0.10273011794785683,1.0
390,0.03224933574377164,0.0457692783663833,0.10911065797726845,1.0
391,0.032161787781560494,0.04566044609657085,0.09767248187749586,1.0
392,0.03219939524785114,0.045728871077612795,0.10344479167858625,1.0
393,0.031973110644687594,0.045640321579706364,0.12047748533464635,1.0
394,0.03155033948241347,0.045654005353883795,0.1106315742449977,1.0
395,0.031045917953528124,0.04566484087800306,0.09328782910607787,1.0
396,0.03099747374999064,0.04571311666021958,0.10128241131804316,1.0
397,0.030718842994376418,0.04572556629345102,0.10572577567631716,1.0
398,0.030573954710680324,0.04567682826021431,0.08974764956156281,1.0
399,0.030567274584004284,0.04570780539307044,0.11396304545099464,1.0
400,0.030555768988552466,0.04584888766084268,0.09200813091490836,1.0
401,0.03054584482586823,0.04576239155371866,0.10348899677690482,1.0
402,0.03018127387576506,0.04577648221334303,0.10185374319768428,1.0
403,0.03013104667896297,0.04574267309168469,0.08982830784355218,1.0
404,0.030148826179698673,0.045767870676914776,0.08801523837852519,1.0
405,0.030153794731693682,0.04579441985310606,0.08889836830777553,1.0
406,0.03019638501179816,0.04594341142915225,0.10591743161834422,1.0
407,0.03028627194138562,0.04589781143509005,0.12284158520162092,1.0
408,0.030134980932765582,0.04589382277799692,0.13663011370820646,1.0
409,0.030681549724031122,0.0457630290925341,0.1150463880974946,1.0
410,0.030665041850434303,0.045970028846136136,0.09977723342837948,1.0
411,0.03060907329415318,0.04590999825386747,0.08320778757637987,1.0
412,0.030573559562646836,0.04582548208251806,0.1229792838659147,1.0
413,0.029843682777255943,0.04578418286115851,0.10778838335345944,1.0
414,0.029574873841417625,0.04583461442293328,0.09666374211621716,1.0
