Time(Iteration),EpsilonGreedyMultiArmedBandit,ThompsonSamplingMultiArmedBandit,Upperasdl;kj;ldkjf;lasdfasdfasdfa
176,27.210782628828127,53.78923795892346,59.74677259127843
177,27.301832515198846,53.96458320029874,60.00922454548091
178,27.41861041151326,54.0911124957601,60.28628080130106
179,27.45561796573954,54.317810507192405,60.72512258304946
180,27.492625519965816,54.50358813228962,61.03705395478173
181,27.732418265690626,54.78107357495702,61.35737875059749
182,27.9333578841434,54.989368820832944,61.70241256887972
183,27.97036543836968,55.18904366964309,61.93932975428104
184,28.007372992595958,55.444509144256074,62.21255943538038
185,28.109006864749244,55.74858597712921,62.50029824612998
186,28.274713384026768,56.02145359702898,62.839041568734196
187,28.352884605831253,56.201200137206456,63.088975837487624
188,28.55210579932733,56.30581599101847,63.392847733845656
189,28.64829597282044,56.549399310794364,63.68795915492185
190,28.772215123772988,56.69228035143017,63.93168243076491
191,28.853620355384386,56.96720289569912,64.29550433109073
192,29.013599018465868,57.17814256275686,64.55788361492743
193,29.085267587402058,57.351105598754216,64.87052236897438
194,29.16020290526698,57.45627844000828,65.12333996457208
195,29.264178100169936,57.58610114205824,65.38876573314064
196,29.37911044083639,57.708678101987786,65.68376523185034
197,29.552140453064347,57.82753781691711,66.07942221912025
198,29.607877432977034,57.99152475252356,66.25835583256884
199,29.706677897623024,58.36106223752091,66.55021477104268
200,29.810002795786584,58.65580908348677,66.85216272953224
201,29.898673666656283,58.9687684705922,67.21110050241286
202,30.056451216655596,59.10793670912214,67.53598709882691
203,30.121417143591845,59.230007375705426,67.83979380216034
204,30.24243535751454,59.35916896419309,68.19281252552014
205,30.333883455836894,59.698185495933274,68.4590792941436
206,30.375079707909272,60.000613894147065,68.9181214410652
207,30.41208726213555,60.147667205651885,69.26688097852602
208,30.44909481636183,60.3109638014929,69.60153672754342
209,30.62440144612527,60.44264092740631,69.84325812596464
210,30.673822852006644,60.57369884757255,70.15513579370307
211,30.706221591363242,60.767405951609454,70.33174777766018
212,30.811820930478536,60.90963641644131,70.6267735231258
213,30.93863893807985,61.132400530835376,70.90809190640799
214,30.97103767743645,61.29277371531707,71.17816887911268
215,31.068825476971806,61.42823296969546,71.42193831692451
216,31.1719441639304,61.57895801672487,71.72138970141968
217,31.20895171815668,61.79665746721152,72.01020692449148
218,31.36119738850075,61.88302245637449,72.3499644444762
219,31.398204942727027,62.05091533820375,72.65533207227983
220,31.435212496953305,62.17292969836196,72.9325481143724
221,31.540977258169228,62.21813535667985,73.22923961085228
222,31.688884807916033,62.38256543876478,73.3908157064226
223,31.73883098556692,62.55178398420651,73.58125158158408
224,31.832258146623623,62.65502285798955,73.87229005639601
225,31.96655411501856,62.74821845035164,74.23772535072581
226,32.00356166924484,62.84644372850981,74.4625411517154
227,32.09075780017733,62.97248031860382,74.72373398113028
228,32.194791575052385,63.123958585794206,75.1020329036804
229,32.294049527219116,63.22414925967344,75.41057281397701
