Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit
1409,82.32054288181953,12.227335484133144,14.9839697512251,90.62965992517414,62.29513837911759,76.9493116639434,51.59256373960852
60,12.48648692463477,10.736619593302695,11.531717700744768,11.41006440077472,16.529609343682303,21.852299711934972,18.731915272641846
1410,82.32489954088831,12.22785992996806,14.98459432610357,90.6302845000526,62.29557853802743,76.94983610977832,51.59256373960852
61,12.541987393205693,10.749589046859708,11.559122105772834,11.544371808934544,16.663709625593583,22.148343254875492,18.954617037367015
62,12.761939180704962,10.783405445657127,11.562762489770538,11.576860067002595,16.828522128678504,22.56586143959703,19.2226024837163
1411,82.35308746179669,12.228384375802978,14.986229880706357,90.64133384559476,62.30415364204913,76.95356307094903,51.59290376947481
63,12.944061908925784,10.78779791823425,11.567632612081791,11.69989436827951,16.98055128483282,22.94829226484878,19.373786339619496
1412,82.35744412086545,12.228908821637894,14.986229880706357,90.64195842047323,62.30984049229602,76.95890989132963,51.60013979935225
64,13.110828392785654,10.789027656547804,11.572502734393046,11.868595658242578,17.057444769328463,23.193643805887106,19.586300438308406
65,13.262783892001076,10.81105049907723,11.581318238421117,11.993880048911276,17.1662754385413,23.62884706695298,19.660996068652445
1413,82.37180586268556,12.22943326747281,14.986229880706357,90.64258299535169,62.325788930322844,76.96362188010917,51.6277509292701
66,13.400406885049474,10.833073341606653,11.588904004135637,12.073051087820396,17.342910771387015,24.008241441007705,19.775849191602692
1414,82.46001236547866,12.229957713307728,14.986229880706357,90.64320757023015,62.341737368349676,76.98050432392805,51.64494846221176
67,13.524894242278373,10.849300441607076,11.634730927962337,12.3216144247004,17.419627285075382,24.432170593109095,19.90556830019296
68,13.660348213190195,10.862999472635654,11.642881821433107,12.45768869766044,17.637743515409802,24.821192995935117,20.074914665525093
1415,82.49019202794037,12.230482159142644,14.986754326541273,90.73549443378826,62.345557517600334,76.98620478152067,51.64494846221176
