Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,LinTSTheta
303,0.5712269502913256,0.6641218907230665,0.7555262454608723
304,0.5712031705124734,0.6641204584024709,0.755519467942517
305,0.5711821552101182,0.6640800802281309,0.7555246727821818
306,0.5711724182885052,0.6639216998426191,0.7554444600988178
307,0.5711684070967614,0.6639071109813938,0.7554366063943505
308,0.5711326870242541,0.6638494255800013,0.7553999746482409
309,0.5711794279082067,0.6638383839351076,0.7553962950988817
310,0.5713453736100756,0.6638984240240822,0.7554039600492664
311,0.5713093224163714,0.6638902298760003,0.7554021441744306
312,0.5712210176311658,0.6639594012618827,0.7554300205119022
313,0.5712238627332398,0.6638661495776413,0.7553834995504638
314,0.57127816754756,0.6638917585278533,0.7554101269929138
315,0.5712848102710011,0.6639187049822994,0.7554310662913177
316,0.5711640067801006,0.6640721459886513,0.7555185346157355
317,0.571180339473156,0.6640857454108787,0.7555306646158514
318,0.5711552031188404,0.6641248432846109,0.7555463664937138
319,0.5711864809054006,0.6641080408139816,0.7555399183128154
320,0.5711883817983106,0.6641887928766229,0.7555876536864902
321,0.5711402938126585,0.6641117766296187,0.7555551134651399
322,0.5711259446252005,0.6642372570919404,0.7556201664338893
323,0.5711906642966206,0.6642900661391684,0.7556458296091858
324,0.5708652345065959,0.6642705425957665,0.7556273027240812
325,0.5708548609839543,0.6642979627528197,0.7556592811692575
326,0.5708879710975083,0.6642266183760013,0.7556136543183117
327,0.5709104523124036,0.664216192661161,0.755610073768618
328,0.5708803990266216,0.6642244996592954,0.7556243146182726
329,0.5708194007285855,0.664344170389273,0.7556774882839258
330,0.570832565041943,0.6644103747262561,0.7557232929750496
331,0.5708361336392448,0.6644738155268365,0.7557617202797621
332,0.5708473528304665,0.6644771714641469,0.7557647172073152
333,0.5709698382259237,0.664379083954017,0.7557081443542235
334,0.5709264827046528,0.6643546182311332,0.7557157834974932
335,0.5709408103156497,0.6643208706828886,0.7556933293029269
336,0.5709172477736122,0.6644566296562265,0.7557506862876211
337,0.5708924544980807,0.6644794152059876,0.7557752651930693
338,0.570858991311669,0.6644590838099178,0.7557492318358918
339,0.5708850425458184,0.664375601713141,0.7557010949298426
340,0.5708729513657699,0.6643469359007393,0.7556871767727682
341,0.5708797412991082,0.6642409512543656,0.7556303545736924
342,0.5708889344197197,0.6642999546153125,0.7556523232445136
343,0.570882992812596,0.6643321199772119,0.7556618703319521
344,0.5708865819450533,0.6642907367099802,0.7556363397405139
