Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
211,30.145075361324523,30.957093829943478,15.524002707074121,7.068759048016832
212,30.281035875071773,31.014100599600226,15.524002707074121,7.068759048016832
213,30.281035875071773,31.014100599600226,15.582375673335624,7.125765817673582
214,30.395463960863275,31.2184416504525,15.589011855900612,7.197087063863509
215,30.395463960863275,31.282332629175915,15.589011855900612,7.2037232464284955
216,30.522030416034035,31.38603812553776,15.595648038465598,7.2037232464284955
217,30.756864421573386,31.38603812553776,15.595648038465598,7.2037232464284955
218,30.756864421573386,31.508302070522678,15.666175199753999,7.2037232464284955
219,30.95039218612365,31.57219304924609,15.672811382318987,7.2037232464284955
220,30.95039218612365,31.758196842156668,15.756465238194542,7.210359428993482
221,31.21740871342327,31.82208782088008,15.756465238194542,7.210359428993482
222,31.275781679684776,32.00058019899255,15.76310142075953,7.210359428993482
223,31.500934431571523,32.1054102222388,15.76310142075953,7.210359428993482
224,31.616314167489776,32.163783188500304,15.76310142075953,7.210359428993482
225,31.75676423961864,32.28022729589687,15.769737603324515,7.210359428993482
226,31.889966877354386,32.339664633636694,15.834746752151005,7.210359428993482
227,32.02592739110163,32.38406658493872,15.876693666846444,7.210359428993482
228,32.310547567724925,32.454092719428196,15.876693666846444,7.210359428993482
229,32.310547567724925,32.556867636991726,15.876693666846444,7.210359428993482
230,32.310547567724925,32.82485096471544,15.876693666846444,7.210359428993482
231,32.310547567724925,32.82485096471544,15.876693666846444,7.210359428993482
232,32.48046457283666,33.05512291624804,15.876693666846444,7.216995611558469
233,32.550490707326134,33.20346183574854,15.876693666846444,7.216995611558469
234,32.718087182411395,33.308291858994785,15.88332984941143,7.216995611558469
235,32.882354543397454,33.308291858994785,15.959992166465886,7.216995611558469
236,32.882354543397454,33.308291858994785,15.966628349030874,7.216995611558469
237,32.882354543397454,33.37961310518471,15.966628349030874,7.216995611558469
238,32.97154678153696,33.42401505648674,15.966628349030874,7.216995611558469
239,33.172400991829726,33.42401505648674,15.97326453159586,7.216995611558469
240,33.22940776148648,33.42401505648674,15.97326453159586,7.216995611558469
241,33.22940776148648,33.6553680037153,15.97326453159586,7.216995611558469
242,33.35597421665723,33.66200418628029,15.97326453159586,7.216995611558469
243,33.50402727177517,33.66200418628029,16.015211446291296,7.223631794123454
244,33.60885729502142,33.766834209526536,16.021847628856285,7.223631794123454
245,33.60885729502142,33.88221394544479,16.02848381142127,7.223631794123454
246,33.60885729502142,33.88221394544479,16.02848381142127,7.223631794123454
247,33.60885729502142,33.88221394544479,16.02848381142127,7.223631794123454
248,33.60885729502142,33.88221394544479,16.02848381142127,7.265578708818893
249,33.735423750192176,33.93922071510154,16.10550148473184,7.265578708818893
250,33.932260050191815,34.02841295324104,16.10550148473184,7.265578708818893
251,34.03709007343806,34.40504213539922,16.2285817746934,7.265578708818893
252,34.240562556002686,34.588930155470436,16.294655294998208,7.265578708818893
253,34.32975479414218,34.72938022759929,16.35409263273803,7.265578708818893
254,34.401076040332114,34.72938022759929,16.413529970477853,7.265578708818893
255,34.401076040332114,34.8185724657388,16.47960349078266,7.265578708818893
256,34.401076040332114,35.136181677476436,16.539040828522484,7.265578708818893
257,34.45808280998886,35.136181677476436,16.598478166262307,7.265578708818893
258,34.59404332373611,35.20007265619985,16.664551686567115,7.265578708818893
259,34.66536456992604,35.20007265619985,16.72398902430694,7.265578708818893
260,34.91314685539381,35.27009879068932,16.78342636204676,7.265578708818893
261,34.9197830379588,35.27009879068932,16.842863699786584,7.265578708818893
262,34.99680071126937,35.31450074199135,16.96067400378791,7.265578708818893
263,34.99680071126937,35.31450074199135,17.020111341527734,7.265578708818893
264,34.99680071126937,35.524976948609684,17.086184861832542,7.265578708818893
265,35.26409377581557,35.524976948609684,17.145622199572365,7.265578708818893
266,35.38111747735359,35.62980697185593,17.300887958016673,7.265578708818893
267,35.74517203551897,35.91442714847922,17.449517533895992,7.265578708818893
268,35.9487561640003,35.92106333104421,17.508954871635815,7.265578708818893
269,35.9487561640003,35.92106333104421,17.572597823857553,7.265578708818893
270,35.9487561640003,35.92106333104421,17.57923400642254,7.265578708818893
271,36.07427121781001,35.963010245739646,17.57923400642254,7.265578708818893
272,36.27269486001971,36.29592371094046,17.57923400642254,7.265578708818893
273,36.27269486001971,36.29592371094046,17.585870188987524,7.265578708818893
274,36.27269486001971,36.29592371094046,17.585870188987524,7.265578708818893
275,36.31464177471515,36.29592371094046,17.59250637155251,7.265578708818893
276,36.44410524694444,36.337870625635894,17.59250637155251,7.265578708818893
277,36.6744503240004,36.464437080806654,17.59250637155251,7.265578708818893
278,36.77928034724664,36.53575832699658,17.59250637155251,7.323951675080397
279,36.98705660448696,36.64058835024282,17.663033532840913,7.323951675080397
280,37.17823549373067,36.99637535558514,17.663033532840913,7.383389012820219
281,37.17823549373067,36.99637535558514,17.6696697154059,7.383389012820219
282,37.30375054754038,36.99637535558514,17.6696697154059,7.383389012820219
283,37.30375054754038,36.99637535558514,17.6696697154059,7.383389012820219
284,37.3631878852802,37.100080851946984,17.6696697154059,7.383389012820219
285,37.60091782460937,37.4246287126516,17.676305897970884,7.383389012820219
286,37.70232654556814,37.4246287126516,17.676305897970884,7.383389012820219
287,37.70232654556814,37.543593300657605,17.718252812666325,7.383389012820219
288,37.761763883307964,37.66910835446732,17.718252812666325,7.383389012820219
289,37.761763883307964,37.66910835446732,17.718252812666325,7.383389012820219
290,37.94533710813547,37.78613205600534,17.72488899523131,7.383389012820219
291,37.94533710813547,37.83717018987237,17.731525177796296,7.383389012820219
292,38.034529346274965,37.83717018987237,17.738161360361282,7.383389012820219
293,38.041165528839954,37.901061168595774,17.74479754292627,7.383389012820219
294,38.167731984010715,38.005891191842025,17.808440495148005,7.383389012820219
295,38.284755685548745,38.25230399403189,17.808440495148005,7.383389012820219
296,38.55718218388024,38.39372086658484,17.808440495148005,7.383389012820219
297,38.69127261069069,38.51923592039456,17.88510281220246,7.383389012820219
298,38.69127261069069,38.563637871696585,17.891738994767447,7.657929511759525
299,38.69127261069069,38.563637871696585,17.891738994767447,7.657929511759525
300,39.00657884055527,38.699598385443835,17.891738994767447,7.657929511759525
301,39.00657884055527,38.75903572318366,17.891738994767447,7.657929511759525
302,39.20341514055491,38.75903572318366,17.898375177332433,7.657929511759525
303,39.274736386744834,38.87605942472168,17.898375177332433,7.657929511759525
304,39.331743156401586,38.87605942472168,18.104801198711876,7.657929511759525
305,39.47316002895454,38.95307709803225,18.111437381276865,7.657929511759525
306,39.47316002895454,39.16883579134251,18.111437381276865,7.657929511759525
307,39.47316002895454,39.22720875760401,18.222903587088094,7.657929511759525
308,39.712826039063636,39.28558172386552,18.222903587088094,7.657929511759525
309,39.712826039063636,39.28558172386552,18.222903587088094,7.657929511759525
310,39.712826039063636,39.28558172386552,18.222903587088094,7.657929511759525
